object_id,original_ids,num_segments,duration_frames,final_class,mean_confidence
1,1,1,122,Bead,0.572
3,"3,8",2,124,Frag,0.557
5,"5,6",2,70,Bead,0.567
7,7,1,128,Bead,0.559
9,"9,11",2,40,Bead,0.515
10,"10,12,14",3,37,Bead,0.533
13,13,1,19,Bead,0.482
18,18,1,41,Bead,0.425
19,"19,20,21,23,24",5,113,Frag,0.417
22,"22,25",2,41,Bead,0.508
27,"27,28",2,85,Bead,0.556
29,"29,30",2,68,Bead,0.39
32,32,1,45,Bead,0.447
33,33,1,49,Bead,0.456
34,"34,35",2,107,Bead,0.575
36,"36,41",2,43,Frag,0.505
38,"38,40,44,45,46",5,52,Bead,0.434
51,"51,53",2,75,Bead,0.591
55,"55,56",2,72,Bead,0.428
59,"59,63",2,70,Bead,0.545
67,"67,68",2,85,Bead,0.567
70,"70,71",2,65,Bead,0.414
72,72,1,52,Bead,0.545
73,"73,74",2,83,Bead,0.498
78,78,1,44,Bead,0.468
79,"79,80,81,86",4,103,Frag,1.138
83,83,1,26,Frag,0.659
84,"84,89,90",3,27,Frag,1.064
88,88,1,23,Frag,0.762
92,92,1,69,Bead,0.543
93,"93,94,95,96,97",5,93,Bead,0.543
98,"98,99,101",3,76,Bead,0.398
102,"102,103,104",3,68,Bead,0.532
106,"106,107,109,110",4,138,Bead,0.512
111,111,1,80,Bead,0.46
112,"112,113,118,121,122,123",6,77,Frag,0.832
114,"114,117",2,95,Frag,0.753
126,"126,127",2,34,Bead,0.593
128,"128,129",2,24,Bead,0.599
130,"130,133",2,62,Bead,0.555
131,"131,132",2,89,Bead,0.442
134,"134,135",2,61,Frag,0.798
138,"138,139,141,143,145",5,101,Bead,0.456
140,"140,142,146,149,150,151",6,206,Frag,0.906
